id	count
0	0
1	71
2	11
3	0
4	60
5	17
6	185
7	0
8	22
9	13
10	6
11	2
12	127
13	120
14	0
15	1
16	5
17	78
18	66
19	13
20	15
21	50
22	52
23	2
24	20
25	5
26	67
27	18
28	27
29	73
30	4
31	7
32	49
33	0
34	7
35	38
36	35
37	80
38	4
39	106
40	53
41	23
42	57
43	0
44	3
45	66
46	0
47	83
48	273
49	17
50	3
51	30
52	0
53	64
54	21
55	25
56	5
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
