id	count
0	0
1	13
2	7
3	0
4	5
5	6
6	15
7	0
8	4
9	6
10	1
11	0
12	41
13	37
14	0
15	0
16	0
17	12
18	16
19	0
20	1
21	14
22	11
23	0
24	7
25	1
26	11
27	1
28	6
29	20
30	0
31	0
32	5
33	0
34	2
35	13
36	13
37	20
38	0
39	26
40	13
41	1
42	8
43	0
44	2
45	15
46	0
47	24
48	53
49	1
50	0
51	7
52	0
53	13
54	7
55	5
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
