id	count
0	0
1	77
2	16
3	0
4	41
5	28
6	105
7	0
8	46
9	24
10	9
11	2
12	144
13	88
14	0
15	3
16	19
17	91
18	83
19	31
20	48
21	43
22	50
23	13
24	32
25	24
26	80
27	25
28	25
29	57
30	17
31	18
32	12
33	12
34	38
35	13
36	80
37	69
38	11
39	138
40	30
41	39
42	104
43	0
44	0
45	59
46	16
47	69
48	177
49	34
50	9
51	52
52	0
53	36
54	27
55	72
56	13
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
