id	count
0	0
1	14
2	0
3	0
4	10
5	2
6	16
7	0
8	5
9	1
10	0
11	0
12	27
13	24
14	0
15	0
16	1
17	11
18	7
19	1
20	4
21	13
22	8
23	1
24	5
25	1
26	12
27	1
28	5
29	14
30	1
31	1
32	5
33	0
34	2
35	9
36	8
37	20
38	0
39	18
40	14
41	5
42	15
43	0
44	0
45	17
46	0
47	21
48	67
49	6
50	0
51	5
52	0
53	5
54	5
55	3
56	2
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
