id	count
0	0
1	5
2	0
3	0
4	16
5	7
6	84
7	0
8	5
9	1
10	0
11	1
12	43
13	45
14	0
15	0
16	0
17	31
18	17
19	1
20	2
21	8
22	16
23	5
24	10
25	3
26	14
27	7
28	8
29	22
30	5
31	5
32	2
33	0
34	9
35	5
36	28
37	14
38	0
39	30
40	3
41	12
42	11
43	0
44	0
45	30
46	10
47	22
48	64
49	5
50	4
51	14
52	0
53	6
54	0
55	7
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
